carrier_code,carrier_name,icoa_code,pnr_link,webcheckin_url
"9Q","Caicos Express Airways", nil,"http://caicosexpressairways.com/en/","http://caicosexpressairways.com/en/"
"4Y","Alaska Airlines","ASA","http://www.alaskaair.com/","https://webselfservice.alaskaair.com/checkinweb/default.aspx?language=en_US&lid=nav:travelInfo-checkIn%20{On-Click%20tag}"
"3G","Gambia Bird","GBQ","http://www.gambiabird.com/","http://www.gambiabird.com/"
"3R","Moskovia Airlines","GAI","http://www.moskovia.aero/","http://www.moskovia.aero/"
"3B","Central Connect Airlines","JBR","http://flycca.cz/","http://flycca.cz/"
"4E","Stabo Air Limited","SBO","http://www.eurocargoaviation.nl/index.php?pageid=31&subid=6&id=2","http://www.eurocargoaviation.nl/index.php?pageid=31&subid=6&id=2"
"4T","Belair Airlines","BHP","https://www.belair.in/nav/home","http://www.airberlin.com/en-GB/webcheckin/index/index/"
"5C","C.A.L. Cargo Airlines","ICL","http://www.cal.co.il/","http://www.cal.co.il/"
"8D","FITS Air","EXV","http://www.fitsair.com/index.html","http://www.fitsair.com/index.html"
"5G","540 Africa", nil,"http://www.fly540.com/","http://www.fly540.com/"
"BB","Seaborne Airlines","SBS","http://www.seaborneairlines.com/","http://www.seaborneairlines.com/"
"BH","Hawkair","BHA","http://www.hawkair.ca/","http://www.hawkair.ca/checkin-times"
"VX","Virgin America","VRD","http://www.virginamerica.com/","http://www.virginamerica.com/online-check-in.html"
"6Y","Smartlynx Airlines","ART","http://www.smart-lynx.com/","http://www.smart-lynx.com/"
"3P","Tiara Air Aruba","TNM","http://www.tiara-air.com/","http://www.tiara-air.com/plan-book/check-in/"
"BC","Skymark Airlines","SKY","http://www.skymark.co.jp/en/","http://www.skymark.co.jp/en/res_boarding/checkin.html"
"Q3","ट्रांस एंगुइला एयरवेज", nil,"http://www.transanguilla.com/","http://www.transanguilla.com/"
"6I","Air Alsie","MMD","http://www.alsie.com/","http://www.alsie-express.com/check-in.aspx"
"CU","Cubana de Aviacion","CUB","http://www.cubana.cu/home/","http://www.cubana.cu/guide/?article=aecheck-in"
"Q7","Sky Bahamas","SBM","http://www.skybahamas.net/","http://www.skybahamas.net/"
"QC","Cameroon Airlines","UYC","http://www.camair-co.cm/","http://www.camair-co.cm/"
"ZC","Korongo Airlines","KGO","http://www.flykorongo.com/","http://www.flykorongo.com/"
"EP","Iran Aseman Airlines","IRC","http://iaa.ir/","http://iaa.ir/"
"HO","Juneyao Airlines","DKH","http://www.juneyaoair.com/","http://www.juneyaoair.com/"
"I6","Air Indus","MPK","http://www.airindus.com.pk/index.html","http://www.airindus.com.pk/check-in.html"
"VM","मेकैर जेट", nil,"http://www.macairjet.com.ar/","http://www.macairjet.com.ar/"
"QU","युटी एयर  यूक्रेन","UGX","http://www.utair.ua/en/","http://booking.utair.ua/is2009/web-checkin/conditions.jsf#"
"4N","Air North Yukons","ANT","http://www.flyairnorth.com/","https://booking.flyairnorth.com/servlet/OnlineCheckinPassengerForm"
"CT","Alitalia CityLiner","CYL","http://www.alitalia.com/","http://www.alitalia.com/gb_en/Informazioni-Supporto/checkin/index.html"
"OY","ओमनी एयर एक्सप्रेस","OAE","http://www.andesonline.com/","http://www.andesonline.com/"
"P4","Aerolíneas Sosa","NSO","http://www.aerolineasosahn.com/","http://www.aerolineasosahn.com/"
"RX","Regent Airways","RGE","http://www.flyregent.com/","http://www.flyregent.com/"
"TY","Air Calédonie","TPC","http://www.air-caledonie.nc/","http://www.air-caledonie.nc/"
"YQ","Polet Airlines","POT","http://www.poletairlines.com/","http://www.poletairlines.com/"
"ZE","आर्कस-एयर लोजिस्टीक","AZE","http://www.arcus-air.com/","http://www.arcus-air.com/"
"WG","Sunwing Airlines","SWG","http://www.flysunwing.com/","https://selfservice.sita.aero/internetSWP/identificationEdit.do?locale=en_EN&al=carrier_WG"
"CA","Community  Airlines","CML","http://et.airchina.com.cn/InternetBooking/ReservationSearch.do?lang=en","http://www.airchina.de/en/checkin/"
"V5","Avolar Aerolíneas","VLI","http://www.avolar.com.mx/","http://www.avolar.com.mx/"
"YZ","Flywell Airlines / Zimbabwe Airlink","FEM","http://www.flywell.com/","http://www.flywell.com/"
"9K","Cape Air","KAP","http://www.capeair.com/","http://www.capeair.com/"
"AI","Air India","AIC","https://book.airindia.in/itd/itd/lang/en/reservations","https://fastcheck.sita.aero/cce-presentation-web-ai/entryUpdate.do"
"SZ","Somon Air","SMR","http://www.somonair.com/","http://www.somonair.com/"
"V5","अवोलर एयरोलीनीस","VLI","http://www.avolar.com.mx/","http://www.avolar.com.mx/"
"6W","Saratov Airlines","SOV","http://www.saravia.ru/SitePages/passengers/online-table.aspx","http://booking.saravia.ru/is2009/web-checkin/conditions.jsf"
"VM","मेकैर जेट","VOA","http://www.macairjet.com.ar/","http://www.macairjet.com.ar/"
"D2","Dynamic Airways","DYA","http://www.dynamicaviation.com/","http://www.dynamicaviation.com/"
"GU","AVIATECA","GUG","http://www.avianca.com/es-us/","http://www.avianca.com/en-us/travel-information/before-your-flight/check-in/conditions-check-in.aspx"
"ON","Our Airline","RON","http://www.ourairline.com.au/","http://www.ourairline.com.au/content/you-fly/you-fly/check-times"
"QS","ट्रावेल सर्वीस एयरलाइंस","TVS","http://www.travelservice.aero/en/","http://www.travelservice.aero/en/"
"W4","एलसी पेरू","LCB","http://www.lcperu.pe/home","https://apps.kiusys.com/webcheckin/W4/"
"WC","Islena Airlines","ISV","http://www.avianca.com/en-otr/#ws=ta","http://www.avianca.com/en-otr/#ws=ta"
"LN","Libyan Airlines","LAA","http://www.libyanairlines.co.uk/","http://www.libyanairlines.co.uk/"
"US","US Airways","PDT","http://www.usairways.com/default.aspx?redir=https://www.google.co.in/","http://checkin.usairways.com/"
"SK","स्कैंडिनेवियाई एसएएस","CNO","http://www.flysas.com/en/Generic/Services/Find-booking/","https://www.sas.se/en/misc/services/check-in/"
"3F","Pacific Airways", nil,"http://www.cathaypacific.com/cx/en_US/manage-booking/manage-booking/manage-booking-now.html","http://www.cathaypacific.com/cx/en_HK/manage-booking/check-in/check-in-now.html"
"K2","किर्गिज़स्तान एयरलाइंस","KGA","http://eurolot.com/en/","http://eurolot.com/en/checkin.html"
"ZE","Arcus-Air Logistic","AZE","http://www.arcus-air.com/","http://www.arcus-air.com/"
"7S","Ryan Air","RYA","http://www.ryanair.com/en/manage-your-booking/","https://www.bookryanair.com/SkySales/Booking.aspx?culture=en-gb&lc=en-gb#Security"
"EQ","टेम लीनिया एरीया डेल इक्वाडोर","TAE","https://www.tame.com.ec/","https://icheck.sita.aero/iCheckWebEQ/"
"H2","Sky Airline","SKU","https://www.skyairline.cl/(S(mwba02eudbanck45byhy3mbi))/en/index.aspx","https://www.skyairline.cl/(S(xy3z41rb4jmo23bupirqjy55))/en/index.aspx"
"KO","खोर्स एयर","QNK","http://www.khors.com.ua/","http://www.khors.com.ua/"
"O6","Avianca Brazil","ONE","http://www.avianca.com.br/ecommerce/","http://www.avianca.com.br/web-check-in1;jsessionid=F051EC6AE98E3DC486AB4C755DBADE14.lr1"
"9E","Endeavor Air","FLG","http://www.endeavorair.com/","http://www.endeavorair.com/"
"S7","Siberia Airlines","SBI","http://www.s7.ru/","http://www.s7.ru/home/online_services/online-checkin.dot?language_id=1"
"XU","अफ्रीकन एक्सप्रेस एयरवेज","AXK","http://www.africanexpress.co.ke/","http://www.africanexpress.co.ke/"
"HZ","Aurora Airlines","URR","http://www.flyaurora.ru/","http://www.flyaurora.ru/"
"PQ","फिलीपींस एयरएशिया","TFK","http://www.airasia.com/welcome/index_phen.htm","http://www.airasia.com/ph/en/home.page#"
"YR","ग्रांड कैन्यन एयरलाइंस","EGJ","http://www.grandcanyonairlines.com/","http://www.grandcanyonairlines.com/"
"EQ","TAME Linea Aerea del Ecuador","TAE","https://www.tame.com.ec/","https://icheck.sita.aero/iCheckWebEQ/"
"T7","Twin Jet","TJT","http://www.twinjet.fr/lggb/index.php","http://www.twinjet.fr/lggb/index.php"
"UU","Air Austral","REU","http://www.air-austral.com/en/about-air-austral/contact-us/check-my-booking.html","https://checkin.si.amadeus.net/1ASIHSSCWEBUU/sscwuu/checkin?ln=GB"
"W5","Mahan Airlines","IRM","http://www.mahan.aero/index.html","http://www.mahan.aero/en"
"6H","Israir Airlines","ISR","http://www.israirairlines.com/","http://www.israirairlines.com/"
"DY","Norwegian Shuttle","NAX","http://www.norwegian.com/en/","http://www.norwegian.com/en/customer-services/travel-information/check-in-and-boarding/"
"FJ","फिजी एयरवेज","FJI","http://www.pacificair.hk/","http://www.pacificair.hk/"
"FN","Regional Air Lines","RGL","http://www.regionaltanzania.com/index.asp","http://www.regionaltanzania.com/index.asp"
"IB","Iberia","IBE","http://www.iberia.com/gb/manage-my-booking/","http://www.iberia.com/online-checkin/"
"JY","Intercaribbean Airways","IWY","http://airturksandcaicos.com/","http://airturksandcaicos.com/checkin"
"JA","BH Airlines","BON","http://www.bhairlines.ba/site_v3/en/","http://www.bhairlines.ba/english/servisne_informacije/na_aerodromu.php"
"JU","Air Serbia","JAT","http://www.airserbia.com/","http://www.airserbia.com/"
"OA","Olympic Airlines","OAL","https://www.olympicair.com/en/Travel/ManageBooking/Rebooking","https://www.olympicair.com/en/Travel/ManageBooking/Checkin"
"Q2","Maldivian","DQA","http://www.maldivian.aero/","http://www.maldivian.aero/"
"XK","Compagnie Corse","CCM","http://www.aircorsica.com/","http://www.aircorsica.com/"
"FJ","एयर पेसेफीक लिमिटेड","FJI"," https://www.fijiairways.com/bookings/manage-your-bookings/"," https://www.fijiairways.com/bookings/manage-your-bookings/"
"8F","STP Airways","STP","http://www.stpairways.st/","http://www.stpairways.st/"
"CA","Community  Airlines","CAO","http://et.airchina.com.cn/InternetBooking/ReservationSearch.do?lang=en","http://www.airchina.de/en/checkin/"
"F2","Safarilink Aviation","XLK","http://www.flysafarilink.com/","http://www.flysafarilink.com/"
"G9","Air Arabia","ABY","http://www.airarabia.com/modify-booking","https://fastcheck.sita.aero/cce-presentation-web-g9/entryUpdate.do"
"HU","Hainan Airlines","CHH","https://global.hnair.com/INT/GB/Welcome","https://global.hnair.com/INT/GB/Welcome"
"K8","Kan Air","KND","http://www.kanairlines.com/main/","http://www.kanairlines.com/main/"
"J3","नॉर्थवेस्टर्न एयर","PLR","http://www.nwal.ca/","http://www.nwal.ca/"
"S7","साइबेरिया एयरलाइंस","SBI","http://www.s7.ru/","http://www.s7.ru/home/online_services/online-checkin.dot?language_id=1"
"IR","Iran Air","IRA","http://www.iranair.com/Portal/Home/","http://www.iranair.com/Portal/Home/"
"JW","वेनिला एयर","VNL","http://www.vanilla-air.com/en","http://www.vanilla-air.com/en/guide/checkin"
"FZ","Flydubai", nil,"http://www.flydubai.com/en/","http://www.flydubai.com/en/check-in/"
"JJ","टैम लिन्हास एरीस","AGX","http://www.tam.com.br/502.html","http://www.tam.com.br/502.html"
"YQ","पोलेट एयरलाइंस","POT","http://www.poletairlines.com/","http://www.poletairlines.com/"
"OU","Croatia Airlines","CTN","http://www.croatiaairlines.com/","http://www.croatiaairlines.com/Plan-Book/check-in/Web-check-in"
"Z5","GMG Airlines Ltd.","GMG","http://www.gmgairlines.com/","http://www.gmgairlines.com/"
"K5","वींग्स ऑफ अलास्का","ABE","http://www.wingsofalaska.com/","http://www.wingsofalaska.com/"
"P4","Aerolíneas Sosa","NSO","http://www.aerolineasosahn.com/","http://www.aerolineasosahn.com/"
"CG","Papua New Guinea","TOK","http://www.apng.com/","http://www.apng.com/"
"JT","Lion Airlines","LNI","https://secure2.lionair.co.id/lionairpnr/pnrstatus.aspx","https://secure2.lionair.co.id/LionWebCheckin/StartWebCheckIn.aspx"
"KG","की लाईम एयर","LYM","http://www.keylimeair.com/","http://www.keylimeair.com/"
"M3","ABSA Cargo Airline","TUS","http://www.tamcargo.com.br/vgn/v/index.jsp?vgnextoid=0e5df416b6e29310VgnVCM1000006b0d010aRCRD","http://www.tamcargo.com.br/vgn/v/index.jsp?vgnextoid=0e5df416b6e29310VgnVCM1000006b0d010aRCRD"
"UM","Air Zimbabwe (Pvt)","AZW","http://www.airzimbabwe.aero/","http://www.airzimbabwe.aero/reservation-check-in.html"
"V0","ConViasa","VCV","http://www.conviasa.aero/2012/site.php","http://www.conviasa.aero/2012/site.php"
"9N","Tropic Air","NSE","http://www.tropicair.com/","http://www.tropicair.com/"
"WP","Island Air","MKU","http://www.islandair.com/","https://webres.islandair.com/VIBE/CheckIn/"
"2E","Smokey Bay Air", nil,"http://www.smokeybayair.com/","http://www.smokeybayair.com/"
"MM","Peach Aviation","SAM","http://www.flypeach.com/home.aspx","http://www.flypeach.com/airports/howtocheckin.aspx"
"QS","Travel Service Airlines","TVS","http://www.travelservice.aero/en/","http://www.travelservice.aero/en/"
"9V","एवीयर एयरलाइंस","ALS","https://www.aviorair.com/","https://www.aviorair.com/"
"2N","NextJet","NTJ","https://bokning.nextjet.se/mybooking/MinBokning.xo?_a=init&language=en","https://checkin.si.amadeus.net/1ASIHSSCWEB2N/sscw2n/checkin?width=800&height=600&type=W&Redirected=true"
"7C","Jeju Air","COY","http://www.jejuair.net/","http://www.jejuair.net/"
"8U","Afriqiyah Airways","AAW","http://www.afriqiyah.aero/","http://www.afriqiyah.aero/"
"A2","Astra Airlines","CIU","http://www.astra-airlines.gr/frontend/index.php","http://www.astra-airlines.gr/pages.php?cat=3"
"BP","Air Botswana Corp","BOT","https://www.airbotswana.co.bw/","https://www.airbotswana.co.bw/"
"EN","Air Dolomiti","DLA","http://www.airdolomiti.eu/","http://www.airdolomiti.eu/travel-information-and-services/services/online-check-in.html"
"PZ","TAM Mercosur","LAP","http://www.tam.com.br/502.html","http://www.tam.com.br/502.html"
"AP","Air One","ADH","https://flyairone.com/EN-EU/","https://flyairone.com/EN-EU/"
"BT","Air Baltic","BTI","http://www.airbaltic.com/en/index","http://www.airbaltic.com/en/index"
"NX","Air Macau Limited","AMU","http://en.airmacau.com.mo/routes/macau.asp","http://en.airmacau.com.mo/routes/macau.asp"
"PJ","Air St. Pierre","SPM","http://www.airsaintpierre.com/en/","http://www.airsaintpierre.com/en/"
"K2","Kyrgyzstan  Airlines","ELO","http://eurolot.com/en/","http://eurolot.com/en/checkin.html"
"QM","Air Malawi","AML","http://airmalawi.net/","http://airmalawi.net/"
"R7","Aserca Airlines","OCA","http://www.asercaairlines.com/","http://www.asercaairlines.com/EN-US/Serv02C.aspx"
"T5","Turkmenistan Airlines","TUA","http://turkmenairlines.com/","http://turkmenairlines.com/lang/en/check-in/"
"VT","Air Tahiti","VTA","http://www.airtahitinui.com/","https://www.airtahiti.com/online-checkin"
"6E","IndiGo","IGO","https://book.goindigo.in/Booking/Retrieve","https://book.goindigo.in/Checkin"
"R3","Yakutia Airlines","SYL","http://www.yakutia.aero/en/","http://www.yakutia.aero/en/"
"WA","KLM Cityhopper","KLM","http://www.klmcityhopper.nl/","http://www.klmcityhopper.nl/"
"IX","Air India Express","AXB","http://www.airindiaexpress.in/SearchRef.aspx","https://fastcheck.sita.aero/cce-presentation-web-ai/entryUpdate.do"
"RE","Aer Arann","REA","http://www.aerarann.com/","http://www.aerarann.com/"
"TQ","Tandem Aero","TDM","http://www.tandemaero.md/en/index.html","http://www.tandemaero.md/en/index.html"
"JT","Lion Airlines","LNI","https://secure2.lionair.co.id/lionairpnr/pnrstatus.aspx","https://secure2.lionair.co.id/LionWebCheckin/StartWebCheckIn.aspx"
"EU","चेंगदू एयरलाइंस","UEA","http://www.chengduair.cc/","http://www.chengduair.cc/"
"QG","Citilink","CTV","http://www.citilink.co.id/en/","https://book.citilink.co.id/SearchWebCheckin.aspx"
"SH","Sharp Airlines","SH","http://sharpairlines.com/","http://sharpairlines.com/"
"YC","Yamal Airlines","LLM","http://yamal.aero/","http://yamal.aero/"
"YV","Mesa Airlines Inc.","ASH","http://www.mesa-air.com/","http://www.mesa-air.com/"
"Z9","बीकैर","BEK","http://www.bekair.com/","http://www.bekair.com/"
"BB","Seaborne Airlines","SBS","http://www.seaborneairlines.com/","http://www.seaborneairlines.com/"
"4N","एयर नोर्थ युकोंस","ANT","http://www.flyairnorth.com/","https://booking.flyairnorth.com/servlet/OnlineCheckinPassengerForm"
"2J","Air Burkina","VBW","http://www.air-burkina.com/","http://www.air-burkina.com/"
"Y5","गोल्डन म्यांमार एयरलाइंस","GMR","http://www.gmairlines.com/#tab1","http://www.gmairlines.com/#tab1"
"5N","नोर्डावीया","AUL","http://www.nordavia.ru/en/","http://booking.nordavia.ru/is2009/web-checkin/reg-data.jsf"
"AR","Aerolineas Argentinas","ARG","http://www.aerolineas.com.ar/en-nz/booking_and_services/check_your_booking","http://www.aerolineas.com.ar/en-nz/booking_and_services/web_checkin"
"YJ","एशियन वींग्स एयरवेज","AWM","http://www.asianwingsair.com/","http://www.asianwingsair.com/"
"LB","एयर कोस्टा","LLB","http://www.labairlines.com.bo/","http://www.labairlines.com.bo/"
"EI","Aer Lingus","EIN","http://www.aerlingus.com/en-US/home/index.jsp","https://www.aerlingus.com/wci/start;jsessionid=5D4C522DC3FE4C49785FF06FC449609E?_flowExecutionKey=_c46D081E5-6289-5F1A-430A-D2CFEE313EA9_kB7BEB7D0-9393-8174-B433-B4DC66709C7B"
"KL","KLM Cityhopper","KLM","http://www.klm.com/","https://www.klm.com/travel/in_en/prepare_for_travel/checkin_options/internet_checkin/ici_jffp_app.htm"
"KP","ASKY","SKK","http://www.flyasky.com/asky/","http://www.flyasky.com/asky/"
"VV","AeroSvit  Airlines","AEW","http://global.aerosvit.com/eng.html","http://global.aerosvit.com/eng.html"
"QH","किर्गिज़स्तान एयरलाइंस","LYN","http://www.air.kg/","http://www.air.kg/"
"3H","Air Inuit","AIE","http://www.airinuit.com/","http://www.airinuit.com/"
"KR","एयर बिशकेक","EAA","http://airbishkek.kg/en/","http://airbishkek.kg/en/"
"LI","लीअट","LIA","http://www.liatairline.com/","http://www.liatairline.com/navSource.html?page_id=2"
"MP","Martinair Holland","MPH","http://www.martinair.com/","http://www.martinair.com/"
"SC","Shandong Airlines","CDG","http://www.shandongair.com.cn/en/","http://www.shandongair.com.cn/en/"
"MR","Air Mauritanie","BIE","http://www.air-mediterranee.fr/","http://www.air-mediterranee.fr/"
"PD","Porter Airlines","POE","https://www.flyporter.com/Flight?culture=en-CA","https://www.flyporter.com/Flight/Web-Check-In?culture=en-US"
"V4","वेनसेकर ईंटरनसिओनल","VEC","http://www.vensecar.com/","http://www.vensecar.com/"
"9V","एएमसी एयरलाइंस","ROI","https://www.aviorair.com/","https://www.aviorair.com/"
"KO","अलास्का सेंट्रल एक्सप्रेस","KHO","http://www.khors.com.ua/","http://www.khors.com.ua/"
"OY","एंडीज लीनीस एरीस","ANS","http://www.andesonline.com/","http://www.andesonline.com/"
"5Q","बेस्ट एयर","BEA","http://www.flybqb.com.uy/BQBFly/web/Home","https://portal.iberia.es/webcki_handling/busquedaLoader.do?aerolinea=5Q"
"BA","British Airways","BAW","http://www.britishairways.com/travel/managebooking/public/en_gb","http://www.britishairways.com/travel/olcilandingpageauthreq/public/en_gb"
"CX","Cathay Pacific","CPA","http://www.cathaypacific.com/cpa/en_US/manageyourtrip/managemybooking","http://www.cathaypacific.com/cx/en_IN/manage-booking/check-in/check-in-now.html"
"DS","easyJet Switzerland","EZS","http://www.easyjet.com/en/","http://www.easyjet.com/en/"
"SN","Brussels Airlines","BEL","http://www.brusselsairlines.com/en-us/","https://checkin.brusselsairlines.com/CI/WebForms/PaxByQuery.aspx"
"K6","कंबोडिया अंगकोर एयर","BRV","http://www.cambodiaangkorair.com/en/","http://www.cambodiaangkorair.com/en/"
"OX","Orient Thai Airlines","OEA","http://www.flyorientthai.com/en/home/","http://www.flyorientthai.com/en/home/"
"PC","कोंटीनेंटल एयरवेज","PVV","http://www.flypgs.com/en/","http://www.flypgs.com/en/fly-with-pegasus/internet-check-in.aspx"
"4G","गेस्प्रोमावीया","GZP","http://eng.gazpromavia.ru/","http://eng.gazpromavia.ru/"
"LY","El Al Israel Air","ELY","https://booking.elal.co.il/newBooking/changeOrder.jsp?LANG=EN","https://www4.elal.co.il/checkInWeb/initCheckIn.do?LANG=EN"
"U9","Tatarstan Airlines","TAK","http://www.tatarstan.aero/","http://www.tatarstan.aero/"
"UG","TunisAir Express","TUX","http://www.tunisairexpress.com.tn/","http://www.tunisairexpress.com.tn/"
"KN","China United Airlines","CUA","http://www.cu-air.com/","http://easternmiles.ceair.com/server/"
"OD","Malindo Air","MXD","http://www.malindoair.com/en","http://www.malindoair.com/en/Check-in"
"QF","ईस्टर्न ऑस्ट्रेलिया एयरलाइंस/क्वेंटस्लींक","EAQ","http://www.qantas.com.au/travel/airlines/home/au/en","http://www.qantas.com.au/travel/airlines/checkin/global/en#online-check-in"
"TK","Turkish Airlines","THY","http://www4.thy.com/mybookings/reservations.tk?target=view&lang=en&GACookie=null&__utma=230785920.1454547721.1336567006.1336567006.1336567023.2&__utmb=230785920.5.9.1336567055484&__utmc=230785920&__utmx=-&__utmz=230785920.1336567023.2.2.utmcsr=google","https://www4.thy.com/onlinecheckin/start.tk?lang=en"
"UR","UTair Express","UTX","http://www.utair-express.com/","http://www.utair-express.com/"
"2L","Helvetic Airways","OAW","http://www.helvetic.com/hdc/","http://www.helvetic.com/hdc/"
"IC","Air India IC","IAC","https://book.airindia.in/itd/itd/lang/en/reservations","https://fastcheck.sita.aero/cce-presentation-web-ai/entryUpdate.do"
"4O","Interjet","AIJ","http://www.interjet.com/home.aspx?Culture=en-US&Currency=USD&Culture=en-US&Culture=en-US&Currency=USD&Currency=USD","http://www.interjet.com/"
"JK","Spanair S.A.","JKK","https://www.spanair.com/","https://www.spanair.com/"
"NB","Sterling  Airlines","SNB","http://www.sterling.dk/","http://www.sterling.dk/"
"PW","Precision Air","PRF","https://www.precisionairtz.com/index.php?id=17","https://www.precisionairtz.com/index.php?id=17"
"SD","Sudan Airways Co","SUD","http://www.sudanair.com/en/","http://www.sudanair.com/en/index.php"
"TR","Tiger Airways","TGW","http://booking.tigerairways.com/RetrieveBooking.aspx","http://booking.tigerair.com/WebCheckIn.aspx?culture=en-GB&gaculture=INEN"
"XQ","SunExpress","SXS","http://www.sunexpress.com/","http://www.sunexpress.com/en/before-the-journey/check-inonline-check-in"
"RJ","Royal Jordanian","RJA","http://www.rj.com/en","http://www.rj.com/en/get_your_boarding_pass_online.html"
