Carrier_code,carrier_name_en,carrier_name_hi,carrier_name_ar
KX,Cayman Airways,केमैनएयरवेज,الخطوطالجويةكايمان
KY,Kunming Airlines,कुनमिंगएयरलाइंस,خطوطكونمينغالجوية
L5,Linea Aerea Cuencana,लीनियाएरीआस्युएंकाना,خطوطكوينكاناالجوية
LA,LAN Airlines,लैनएयरलाइंस,خطوطلانالجوية
LB,Air Costa,एयर कोस्टा,طيرانكوستا
LF,FlyNordic,फ्लायनोर्डीक/नोर्डीकएयरलींक,فلاينورديك/نورديكايرلاين
LG,Luxair,लक्सएयर,لوكسللطيران
LH,Lufthansa,लुफ्थांसा,لوفتهانزاللشحن
LH,Lufthansa Cargo,लुफ्थांसाकार्गो,لوفتهانزاللشحن
LI,LIAT,लीअट,ليات
LJ,Jin Air,जिनएयर,جينللطيران
LM,Loganair,लोगान एअर ,لوغانللطيران
LN,Libyan Airlines,लीबियाएयरलाइंस,الخطوطالجويةالليبية
LO,LOT Polish Air,लॉटपोलिशएयर,البولنديةلوتللطيران
LP,Lan Peru S.A.,लैनपेरूएस.ए.,لانالبيروالعامةالمحدودة
LR,LACSA,एल ए सी एस ए ,افيانكاكوستاريكا
LT,LTU InternationalAirways,एलटीयु इंटरनेशनलएयरवेज,الخطوطالجويةالدولية-إلتييو
LV,Albanian Airlines,अल्बानियन एयरलाइंस,خطوطماكشبكالألبانية
LW,Pacific Wings,पेसिफिकवींग्स,باسيفيكوينغز
LX,Swiss International Airlines,स्विसइंटरनेशनलएयरलाइंस,الخطوطالجويةالسويسريةالدولية
LX,Swiss Global Air Lines,स्विस ग्लोबल एयर लाइन्स,الخطوطالجويةالسويسريةالدولية
LY,El Al Israel Air,एलअलइजराइलएयर,إلعالالإسرائيليةللطيران
LZ,Belle Air,बेलेएयर,بيلللطيران
M3,North Flying,नॉर्थ फ्लाइंग,خطوطابساالجويةللشحن
M3,Tucson International Airport,टक्सन इंटरनेशनल हवाई अड्डा,خطوطابساالجويةللشحن
M3,LATAM Cargo Brasil,लाटम कार्गो ब्रासील,LATAM Cargo Brasil
M4,Smart Aviation Company,स्मार्ट एविएशन कंपनी,شركةسمارتللملاحةالجوية
M7,MasAir,मासएयर,ماسللطيران
M7,Marsland Aviation,मार्सलैंड एविएशन,ماسللطيران
M9,Motor Sich,मोटर सिच,موتورسيش
MA,Malev Hungarian,मालेवहंगरीअन,ماليفالهنغارية
MD,Air Madagascar,एयरमेडागास्कर,طيرانمدغشقر
MF,Xiamen Airlines,ज़ियामेनएयरलाइंस,خطوطزيامنالجوية
MH,Malaysia Airlines,मलेशियाएयरलाइंस,الخطوطالجويةالماليزية
MI,SilkAir,सिल्कएयर(एस)पीटीई,سيلكللطيران(سنغافورة)الخاصةالمحدودة
MJ,Mihin Lanka,मीहीन लंका,طيرانميهينلانكا
MK,Air Mauritius,एयरमॉरीशस,خطوططيرانموريشيوس
MM,Peach Aviation,पीचएवीयेशन,بيتشللملاحةالجوية
MM,Peach Aviation,पीचएवीयेशन,بيتشللملاحةالجوية
MO,Calm Air Intl,कामएयरइंटल,كالمللطيرانالدولية
MP,Martinair Holland,मार्टीनेरहॉलैंड,طيرانمارتنهولندا
MS,EgyptAir,ईजीप्तएयर,مصرللطيراناكسبرس
MS,Egyptair Express,इजिप्तएयर एक्सप्रेस,مصرللطيراناكسبرس
MU,China Eastern Air,चाईनाईस्टर्नएयर,شرقالصينللطيران
MW,Mokulele,मोकुलेले,Mokulele
MW,Maya Island Air,माया आइलैंड एयर,موكوليلي
MX,Mexicana,मेक्सिकाना,ميكسيكانا
MY,Midwest Airlines,मिडवेस्ट एयरलाइन्स,ماياآيلاندللطيران
N7,Lagun Air,लुगनएयर,لاغونللطيران
NA,Teebah Airlines,टीबाहएयरलाइंस,خطوطتيباهللطيران
NB,Sterling Airlines,स्टर्लिंगएयरलाइंस,خطوطستيرلينغالجوية
NF,Air Vanuatu,एयर वानुअतु,فانواتو
NK,Spirit Airlines,स्पीरीटएयरलाइंस,خطوطسبيريتالجوية
NL,Shaheen Air,शाहीनएयर,شاهينللطيران
NP,Nile Air,नाईलएयर,النيلللطيران
NQ,Air Japan,एयरजापान,طيراناليابان
NS,Hebei Airlines,हेबैएयरलाइंस,خطوطهيبيالجوية
NT,Binter Canarias,बीन्टरकेनरीअस,بينتركانارياس
NU,Japan Transocean Air,जापानट्रांसोसीनएयर,اليابانترانسأوشنللطيران
NV,Air Central,एयरसेंट्रल,طيرانسينترال
NW,Northwest Airlines,नॉर्थवेस्टएयरलाइंस,خطوطنورثويستالجوية
NX,Air Macau Limited,एयरमकाओलिमिटेड,طيرانماكاوالمحدودة
NY,Air Iceland,एयरआइसलैंड,طيرانأيسلندا
NZ,Air New Zealand,एयरन्यूजीलैंड,طيراننيوزيلندا
O4,Antrak Air,एंट्रेकएयर,أنتراكللطيران
O6,Avianca Brazil,एविएन्का ब्राज़ील,أفيانكابرازيل
O9,Nova Airways,नोवाएयरवेज,خطوطنوفاالجوية
OA,Olympic Airlines,ओलंपिकएयरलाइंस,خطوطأولمبيكالجوية
OB,Boliviana de Aviación,बोलीवीआनाडेएवीआसीअन,الخطوطالجويةالبوليفية
OC,Oriental Air Bridge,ओरिएंटलएयरब्रिज,طيرانأورينتالبريدج
OD,Malindo Air,मेलींडोएयर,ماليندوللطيران
OK,Czech Airlines,चेकएयरलाइंस,الخطوطالجويةالتشيكية
OL,OLT Express Germany,ओल्टोसफ्रिसीस्चे,او.ل.تي.اكسبرسالألمانية
OM,MIAT Mongolian,एम आय ए टी मंगोलियन,مياتالمنغولية
ON,Nauru Airlines,नाऊरूएयरलाइन,خطوطأوارالجوية
OS,Austrian Airlines,ऑस्ट्रियनएयरलाइंस,الخطوطالجويةالنمساوية
OU,Croatia Airlines,क्रोएशियाएयरलाइंस,الخطوطالجويةالكرواتية
OV,Estonian Air,एस्टोनियनएयर,الإستونيةللطيران
OX,Orient Thai Airlines,ओरिएंट थाई एयरलाइंस,الخطوطالجويةالتايلانديةأورينت
OY,Andes Líneas Aéreas,एंडीजलीनीसएरीस,طيرانأومنياكسبرس
OY,Omni Air Express,ओमनीएयरएक्सप्रेस,طيرانأومنياكسبرس
OZ,Asiana Airlines,आशीयानाएयरलाइंस,الخطوطالجويةالآسيوية
P2,Airkenya Express,एयरकेन्याएक्सप्रेस,طيرانكينيااكسبرس
P4,AerolÃ­neas Sosa,एयरोलाईनीससोसा,الخطوطالجويةسوسا
P6,Pascan Aviation,पास्कनएवीयेशन,باسكانللملاجةالجوية
P9,Asia Pacific Airlines,एशियापेसिफिकएयरलाइंस,خطوطإيجاباسيفيكالجوية
PA,Airblue,एयरब्लू,إيربلو
PB,Provincial Air,प्रोवींसीअलएयर,بروفنشالللطيران
PC,Pegasus Airlines,पेगासस एयरलाइंस,طيرانفيجيالمجدودة
PD,Porter Airlines,पोर्टर एयरलाइंस,خطوطبورترالجوية
PE,Peoples Viennaline,पीपुल्सवीनेलाईन,خطوطبيبولفينالاينالجوية
PG,Bangkok Airways,बैंकाकएयरवेज,خطوطبانكوكالجوية
PJ,Air St. Pierre,एयरसेंटपियरे,طيرانسانتبيير
PK,Pakistan International Airlines,पाकिस्तानइंटरनेशनलएयर,الخطوطالجويةالدوليةالباكستانية
PL,Southern Air Charters,साउथर्न एयर चार्टर्स,ساوثيرنميثاقالهواء
PM,CanaryFly,केनरीफ्लाय,فلايكناري
PN,West Air,वेस्टएयर,ويستللطيران
PR,Philippine Airlines,फिलीपीनएयरलाइंस,الخطوطالجويةالفلبينية
PS,Ukraine International Airlines,यूक्रेनइंटरनेशनलएयर,الخطوطالجويةالدوليةالأوكرانية
PU,Pluna Uruguayas,प्लुनाउरूग्वेज,خطوطأوروغوايالجويةبلونا
PV,PAN Air,पैनएयर,بنللطيران
PW,Precision Air,प्रेसिजनएयर,بريسجينللطيران
PX,Air Niugini Pty,एयरनीयुगीनीप्टाय,طيراننيوجينيالمحدودةالملكية
PY,Surinam Airways,सूरीनामएयरवेज,خطوطسورينامالجوية
PZ,TAM Mercosur,टैममर्कोसुर,تامميركوسور
Q2,Maldivian,मालदीवियन,الخطوطالجويةالمالديفية
Q3,Trans Anguilla Airways,ट्रांसएंगुइलाएयरवेज,خطوطترانسأنغولاالجوية
Q6,Aero Condor Peru,एयरो कोंडोर पेरू,خطوطسكايترانسالجوية
Q6,Skytrans Airlines,स्काईट्रान्स एयरलाइन्स,خطوطسكايترانسالجوية
Q7,Sky Bahamas,स्काईबहामास,سكايبهاماز
Q8,Pacific East Asia Cargo Airlines,पसिफ़िक ईस्ट एशिया कार्गो एयरलाइन्स,خطوطباسيفيكايستإيجاالجويةللشحن
Q9,Afrinat International Airlines,अफ्रीनटइंटरनेशनलएयरलाइंस,الخطوطالجويةأفريناتالدولية
QC,Cameroon Airlines,कैमरूनएयरलाइंस,خطوطالكاميرونالجوية
QF,Eastern Australia Airlines,ईस्टर्नऑस्ट्रेलियाएयरलाइंस,خطوطصنستايتللطيران/كوانتاسلينك
QF,Sunstate Airlines,सनस्टेटएयरलाइंस,خطوطصنستايتللطيران/كوانتاسلينك
QF,Qantas,क्वांटास,خطوطصنستايتللطيران/كوانتاسلينك
QG,Citilink,सीटीलींक,سيتيلينك
QH,Air Kyrgyzstan,एयर किर्गिस्तान,الخطوطالجويةالقيرغيزستانية
QI,Cimber Air,सीम्बरएयर,كيمبرللطيران
QM,Air Malawi,एयरमलावी,طيرانملاوي
QN,Air Armenia,एयरआर्मीनिया,طيرانأرمينيا
QR,Qatar Airways,कतरएयरवेज,الخطوطالجويةالقطرية
QS,Travel Service Airlines,ट्रावेलसर्वीसएयरलाइंस,خطوطترافيلسيرفيسللطيران
QU,Azur Air Ukraine,अज़ुर एयर यूक्रेन,يوتيللطيران-أوكرانيا
QV,Lao Aviation,लाओएवीयेशन,لاوللملاحةالجوية
R3,Yakutia Airlines,याकुटिआ एयरलाइन्स,خطوطياقوتةالجوية
R7,Aserca Airlines,असरका एयरलाइन्स,خطوطاسيركاالجوية
RA,Nepal Airlines,नेपाल एयरलाइन्स,الخطوطالجويةالملكيةالنيبالية
RB,Syrian Arab Air,सीरियनअरबएयर,الخطوطالجويةالعربيةالسورية
RC,Atlantic Airways,अटलांटिक एयरवेज,أطلالنتكفاروآيلاند
RE,Aer Arann,एरअरान,طيراناران
RG,Varig S.A.,वरीगएस.ए.,فاريغش.م
RI,Tigerair Mandala,टाईगरएयरमंडला,طيرانتايغرماندالا
RJ,Royal Jordanian,रॉयलजॉर्डन,الملكيةالأردنية
RO,Tarom,टार्डम,تاروم
RQ,Kam Air,कामएयर,كامللطيران
RT,RAK Airways,आरएकेएयरवेज,طيرانرأسالخيمة
RX,Regent Airways,रीजेंटएयरवेज,خطوطريجنتالجوية
RZ,Sansa Airlines,सानसाएयरलाइंस,خطوطسانساالجوية
S2,JetLite,जेटलाइट,جيتلايت
S3,Santa Barbara Air,सांताबारबराएयर,طيرانسانتاباربرا
S4,Azores Airlines,एज़ोरस एयरलाइंस,ساتاللخدماتالدولية
S7,Siberia Airlines,साइबेरिया एयरलाइन्स,الخطوطالجويةالسيبيرية
S9,Starbow,स्टारबो,ستاربو
SA,South African,साउथअफ्रीकन,خطوطجنوبأفريقيا
SC,Shandong Airlines,शेडोंगएयरलाइंस,خطوطشاندونغالجوية
SD,Sudan Airways Co,सूडानएयरवेजको,شركةالخطوطالجويةالسودانية
SG,SpiceJet,स्पाइसजेट,SpiceJet
SH,Sharp Airlines,शार्पएयरलाइंस,خطوطشاربالجوية
SI,Air Arabia Jordan,सिएरापेसिफिकएयरलाइंस,خطوطسييراالجويةالوطنية
SI,Blue Islands,ब्लू आइसलैंड,خطوطسييراالجويةالوطنية
SI,Sierra Pacific Airlines,सिएरा पेसिफिक एयरलाइन्स,خطوطسييراالجويةالوطنية
SJ,Sriwijaya Air,श्रीवीजावाएयर,سريويجاياللطيران
SJ,Seagle Air,सीगल एयर,سريويجاياللطيران
SK,Scandinavian SAS,स्कैंडिनेवियाईएसएएस,الاسكندنافيةساس
SN,Brussels Airlines,ब्रसेल्सएयरलाइंस,خطوطبروكسلالجوية
SP,SATA - Air Acores,एस ए टी ए  -एयरएकोर्स,ساتا-طيراناكوريس
SQ,Singapore Airlines,सिंगापूरएयरलाइंस,الخطوطالجويةالسنغافورية
ST,Germania,जर्मनीआ,خطوطجرمانياالجوية
SU,Aeroflot Russian Airlines,एरोफ्लोट रशियन एयरलाइन्स,الخطوطالجويةالروسيةايروفلوت
SV,Saudi Arabian Air,सऊदीअरेबीयनएयर,السعوديةللطيران
SW,Air Namibia,एयरनामीबिया,طيرانناميبيا
SX,Sky Work Airlines,स्काय वर्क एयरलाइन्स,خطوطسكايووركالجوية
SY,Sun Country Air,सनकंट्रीएयर,خطوطصنكانتريالجوية
SZ,Somon Air,सोमोन एयर,سومونللطيران
T3,Eastern Airways,ईस्टर्नएयरवेज,الخطوطالجويةايسترن
T5,Turkmenistan Airlines,तुर्कमेनिस्तान एयरलाइन्स,خطوطتركمانستانالجوية
T7,Twin Jet,ट्वीनजेट,توينجت
TA,TACA Airlines,टीएसीए एयरलाइंस,الخطوطالجويةالدوليةتاكا
TC,Air Tanzania,एयरतंजानिया,طيرانتنزانيا
TD,Atlantis European Airways,अटलांटिस यूरोपियन एयरवेज,الخطوطالجويةالأوروبيةاتلانتيس
TE,Lithuanian Airlines,लिथुआनियनएयरलाइंस,الخطوطالجويةالليتوانية
TF,Malmo Aviation,माल्मोएवीयेशन,مالموللملاحةالجوية
TG,Thai Airways,थाईएयरवेज,الخطوطالجويةالدوليةالتايلاندية
TK,Turkish Airlines,तुर्कीएयरलाइंस,الخطوطالجويةالتركية
TL,Airnorth Regional,एयरनोर्थरीजीअनल,ايرنورثالمحلي
TLR,Air Libya,एयरलीबिया,طيرانليبيا
TM,LAM Mozambique Airlines,लैममोकाम्बीक,الموزمبيقيةلام
TN,Air Tahiti Nui,एयरताहितीनुई,طيرانتاهيتينوي
TP,TAP Portugal,टेपपुर्तगाल,طيرانتابالبرتغال
TQ,Tandem Aero,टेंडमएयरो,ايروتانديم
TR,Tiger Airways,टाइगरएयरवेज,خطوطتايغرالجوية
TS,Air Transat,एयरट्रांसेट,طيرانترانسات
TU,Tunisair,टुनीसएयर,الخطوطالتونسية
TW,Tway Airlines,ट्वेएयरलाइंस,خطوطتيوايالجوية
TX,Air Caraibes,एयरकरैबेस,طيرانالكاريبي
TY,Air Calédonie,एयरकेलेडोनी,طيرانكاليدوني
U2,easyJet,ईजीजेट,ايزيجيت
U5,USA3000,यूएसए3000,الولاياتالمتحدةالأمريكيه3000
U6,Ural Airlines,यूरालएयरलाइंस,الخطوطالجويةأورال
U9,Tatarstan Airlines,तातारस्तान एयरलाइंस,خطوطتتارستانالجوية
UA,United,यूनाइटेड,المتحدة
UD,HexAir,हेक्सएयर,هيكسللطيران
UF,UM Airlines,यु एम एयरलाइंस,الخطوطالجويةالأوكرانيةميد
UG,TunisAir Express,तुनिस एयर एक्सप्रेस,الخطوطالتونسيةالسريعة
UJ,AlMasria Universal Airlines,अलमस्रीआयूनिवर्सलएयरलाइंस,المصريةالعالميةللطيران
UJ,Magnicharters,मेग्नीचार्टर्स,المصريةالعالميةللطيران
UK,Vistara Airlines,विस्ताराएयरलाइंस,خطوطفيستاراالجوية
UL,SriLankan Airlines,श्रीलंकनएयरलाइंस,الخطوطالجويةالسريلانكية
UM,Air Zimbabwe (Pvt),एयरजिम्बाब्वे(प्रा),طيرانزيمبابوي(الخاصة)
UN,Transaero Airlines,ट्रांसएयरोएयरलाइंस,خطوطترانسايروالجوية
UO,HongKong Express,हांगकांगएक्सप्रेस,هونغكونغإكسبرس
UP,Bahamasair,बहामासैर,باهامازإير
UR,UTair Express,युटीएयर एक्सप्रेस,شركةاوتيراكسبرس
UT,UTair,युटीएयर,يوتيللطيران
UU,Air Austral,एयरऑस्ट्रल,طيرانأوسترال
UX,Air Europa,एयरयूरोपा,طيرانأوروبا
V0,ConViasa,कोंवीआसा,كونفياسا
V3,Carpatair S.A.,कार्पाटैरएस.ए.,كارباتللطيرانالعامةالمحدودة
V4,Vensecar Internacional,वैन्सकार इंटरनेशनल,فينسيكارانترناسيونال
V7,Air Senegal Intl,एयरसेनेगलइंटरनेशनल,طيرانالسنغالالدولي
V8,Atran,अट्रन,أتران
V9,Van Air Europe,वानएयरयूरोप,طيرانفانيوروب
VA,Virgin Australia,वर्जिनऑस्ट्रेलिया,فيرجنأستراليا
VB,Aeroenlaces Nacionale,एयरोएनलासेसनेशिओनेल,ايرولاثيسناسيوناليس
VF,Valuair Ltd.,वलुएयरलिमिटेड,فالوايرالمحدودة
VG,VLM Airlines,वि एल एम  एयरलाइंस,الخطوطالجويةالفلمنكية
VH,Aeropostal Alas de Venezuela,एयरोपोस्टल अलास डी वेनेजुएला,ايروباستال
VJ,VietJet Air,वीयेटजेटएयर,فيتجيتللطيران
VJ,Jatayu Airlines,जटायु एयरलाइंस,فيتجيتللطيران
VK,Virgin Nigeria,वर्जिननाइजीरिया,فيرجننيجيريا
A0,Avianca Argentina,एवीएन्का अर्जेंटीना,Avianca Argentina
VN,Vietnam Airlines,वियतनामएयरलाइंस,الخطوطالطيرانالفيتنامية
VP,VASP,वीएएसपी,خطوطفاسبالجويةساوباولو
VS,Virgin Atlantic,वर्जिनअटलांटिक,فيرجنأتلانتيك
VT,Air Tahiti,एयरताहिती,طيرانتاهيتي
VV,AeroSvit Airlines,एयरोस्वीटएयरलाइंस,إيروسفيت-الخطوطالجويةالأوكرانية
VW,Aeromar,एयरोमार,ايرومار
VX,Virgin America,वर्जिनअमेरिका,فيرجينأميريكا
VY,Vueling Airlines,वुएलींगएयरलाइंस,خطوطفويلينغالجوية
W2,Flexflight,फ्लेक्सफ्लाइट,Flexflight
W3,Swiftair,स्विफ्टएयर,سويفتإير
W3,Arik Air,एरिक एयर,سويفتإير
W3,DOT LT,डॉट एल टी,سويفتإير
W4,LC Perú,एलसीपेरू,ال.سيبيرو
W4,Aero Services Executive,ऐरो सर्विसेज एक्सिक्यूटिव,ال.سيبيرو
W5,Mahan Airlines,महनएयरलाइंस,خطوطماهانالجوية
W6,Wizz Air,वीज़एयर,طيرانويز
W9,Air Bagan,एयरबागान,طيرانباغان
WB,Rwandair Express,र्वांडैरएक्सप्रेस,طيرانرواندإكسبرس
WC,Islena Airlines,इसलना एयरलाइंस,خطوطآيلاندالجوية
WEW,West Wind Aviation,वेस्टवींडएवीयेशन,ويستويندللملاحةالجوية
WF,Wideroes Fly,वाईडेरोसफ्लाई,ويدرويزفلاي
WG,Sunwing Airlines,सनवींगएयरलाइंस,خطوطصنوينغالجوية
WJ,Labrador Limited,लैब्राडोरलिमिटेड,لابرادورالمحدودة
WM,Windward Is Intl,विंडवार्डआईएसईंटरनेशनल,خطوطجزروينووردالجويةالدولية
WO,World Airways,वर्ल्डएयरवेज,الخطوطالجويةوورلد
WP,Hawaii Island Air,हवाईआईलेंड्सएयर,آيلاندللطيران
WR,Aviaprad Airlines,एवीआप्रेडएयरलाइंस,خطوطأفياستارللطيران
WS,WestJet,वेस्टजेट,ويستجيت
WT,Wasaya Airways,वसायाएयरवेज,خطوطواساياالجوية
WU,Wizz Air Ukraine,वीजएयरयूक्रेन,طيرانويزأوكرانيا
WW,bmiBaby,बीएमआईबेबी,بيإمآيبيبي
WY,Oman Air,ओमानएयर,الطيرانالعماني
X01,Zexus Air,जेक्सस एयर,Zexus Air
X02,Zav Airways,ज़व एयरवेज,Zav Airways
X05,Premier Airways,प्रीमियर एयरवेज,Premier Airways
X3,TUIfly,टी यु आय फ्लाई,فلايتوي
X7,Chitaavia,चिताविआ,تشيتاآفيا
X7,Air Service Gabon,एयर सर्विस  गैबॉन,تشيتاآفيا
X9,Avion Express,एविऑन एक्सप्रेस,افيوناكسبرس
XE,ExpressJet Airlines,एक्सप्रेसजेट एयरलाइंस,خطوطاكسبريسجيتالجوية
XF,Vladivostok Air,व्लादिवोस्तोकएयर,فلاديفوستوكللطيران
XK,Air Corsica,एयर कॉर्सिका,طيرانكورسيكا
XL,Lan Ecuador Aero,लैनइक्वाडोरएयरो,لانالإكوادو
XQ,SunExpress,सनएक्सप्रेस,صنإكسبرس
XU,African Express Airways,अफ्रीकनएक्सप्रेसएयरवेज,خطوطأفريكاناكسبريسالجوية
XV,BVI Airways,बी वि आय एयरवेज,خطوطبيفيالجوية
XY,FlyNas Airlines,फ्लायनेसएयरलाइंस,خطوطالطيرانفلايناس
Y4,Volaris,वोलरीस,فولاريس
Y5,Golden Myanmar Airlines,गोल्डनम्यांमारएयरलाइंस,خطوطغولدينماينمارالجوية
Y9,Trans Air Congo,ट्रांसएयरकांगो,طيرانترانسكونغو
YC,Yamal Airlines,यमलएयरलाइंस,خطوطيامالالجوية
YI,Air Sunshine,एयरसनशाइन,طيرانصنشاين
YJ,Asian Wings Airways,एशियनवींग्सएयरवेज,أجنحةآسياللطيران
YK,Cyprus Turkish,साइप्रसतुर्की,القبرصيةالتركية
YM,Montenegro Air,मोंटेनेग्रोएयर,الجبلالأسود
YN,Air Creebec,एयरक्रीबेक,طيرانكريبيك
YO,Heli Air Monaco,हैलीएयरमोनाको,هيليللطيرانموناكو
YQ,Polet Airlines,पोलेट एयरलाइंस,خطوطبوليتالجوية
YR,Grand Canyon Airlines,ग्रांडकैन्यनएयरलाइंस,خطوطجراندكانيونالجوية
YT,Yeti Airlines,यतिएयरलाइंस,خطوطياتيالجوية
YV,Mesa Airlines Inc.,मेसाएयरलाइंसआईएनसी,الخطوطالجويةميسا
YX,Midwest,मिडवेस्ट,ميدويست
Z3,Avient Aviation,एवीएंटएवीयेशन,أفينتللملاحةالجوية
Z5,GMG Airlines,सी एम जी एयरलाइंस,الخطوطوالجويةجيإمجيالمحدودة
Z6,Dniproavia,नीप्रोआवीआ,دنيبروآفيا
Z8,Linea Aerea Amaszonas,लीनियाएरीयाएमेस्जोनस,خطوطأماسوناسالجوية
Z9,BEKAIR,बीकैर,بيكللطيران
ZA,Sky Angkor Airlines,स्काई आंगकोर एयरलाइंस,خطوطسكايوينغزآسياالجوية
ZB,Monarch Airlines,मोनार्चएयरलाइंस,خطوطموناركالجوية
ZC,Korongo Airlines,कोरोंगोएयरलाइंस,خطوطكورونغوالجوية
ZE,Arcus-Air Logistic,आर्कस-एयरलोजिस्टीक,اركوس-الطيراناللوجستي
ZE,Eastar Jet,ईस्टार जेट,اركوس-الطيراناللوجستي
ZH,Shenzhen Airlines,शेन्ज़ेन एयरलाइंस,خطوطشينزينالجوية
ZH,Ecuato Guineana de Aviacion,एक्वाटो गुइनाना डे एविएशन,خطوطشينزينالجوية
ZI,Aigle Azur,एजलएज़्युर,إيغلأزور
ZM,CityLine Hungary,मानसएयर,ماناسللطيران
ZS,Sama Airlines,समाएयरलाइंस,طيرانسما
ZV,Air Midwest,एयरमिडवेस्ट,طيرانميدويست
ZV,Air Midwest,एयरमिडवेस्ट,
"""8V""",Wright Air Service,राइट एयर सर्विस,
